Alternative,Subset,g1,g2,g3,g4,g5,Class
a131,WHI,0.26,0.02,57,0.994,10.6,Cl1
a132,WHI,0.24,0.038,203,0.9958,9.7,Cl2
a133,WHI,0.425,0.038,241,0.9979,9,Cl1
a134,WHI,0.24,0.035,188,0.9982,9.2,Cl1
a135,WHI,0.27,0.034,203,0.9961,8.9,Cl1
a136,WHI,0.27,0.036,179,0.9979,9.6,Cl1
a137,WHI,0.23,0.027,121,0.992,10.7,Cl2
a138,WHI,0.37,0.045,155,0.9975,8.7,Cl1
a139,WHI,0.19,0.035,96,0.9917,10.8,Cl2
a140,WHI,0.28,0.029,79,0.9923,11.8,Cl2
a141,WHI,0.31,0.045,77,0.9927,10.2,Cl1
a142,WHI,0.37,0.045,155,0.9975,8.7,Cl1
a143,WHI,0.21,0.039,107,0.992,10.8,Cl2
a144,WHI,0.21,0.036,99,0.9947,9.7,Cl2
a145,WHI,0.2,0.037,87,0.9921,11.2,Cl2
a146,WHI,0.255,0.04,114,0.9905,10.9,Cl2
a147,WHI,0.16,0.044,168,0.9918,10.1,Cl2
a148,WHI,0.595,0.058,97,0.9951,9,Cl1
a149,WHI,0.34,0.034,80,0.9917,12,Cl2
a150,WHI,0.25,0.054,116,0.994,9.4,Cl2
a151,WHI,0.22,0.043,152,0.9934,11.5,Cl2
a152,WHI,0.18,0.055,135,0.9968,9.9,Cl2
a153,WHI,0.25,0.054,116,0.994,9.4,Cl2
a154,WHI,0.18,0.048,97,0.9919,10.4,Cl1
a155,WHI,0.23,0.049,76,0.9966,9.7,Cl2
a156,WHI,0.24,0.066,198,0.9979,8.9,Cl2
a157,WHI,0.24,0.066,198,0.9979,8.9,Cl2
a158,WHI,0.32,0.036,124,0.9898,12.4,Cl2
a159,WHI,0.44,0.036,119,0.9894,12.1,Cl3
a160,WHI,0.44,0.036,119,0.9894,12.1,Cl3
a161,WHI,0.32,0.036,124,0.9898,12.4,Cl2
a162,WHI,0.22,0.055,159,0.998,9.1,Cl1
a163,WHI,0.36,0.049,85,0.9932,10.6,Cl1
a164,WHI,0.24,0.066,198,0.9979,8.9,Cl2
a165,WHI,0.24,0.05,205,0.997,9.5,Cl1
a166,WHI,0.23,0.051,177,0.9972,9.8,Cl1
a167,WHI,0.27,0.048,197,0.9974,9.6,Cl2
a168,WHI,0.46,0.034,98,0.9896,12.6,Cl2
a169,WHI,0.29,0.055,151,0.9968,9.3,Cl1
a170,WHI,0.42,0.034,110,0.9958,10,Cl1
a171,WHI,0.3,0.066,133,0.9906,12.7,Cl2
a172,WHI,0.19,0.045,96,0.9917,11,Cl2
a173,WHI,0.48,0.037,100,0.9902,11.4,Cl1
a174,WHI,0.22,0.038,130,0.9918,11.5,Cl2
a175,WHI,0.27,0.051,173,0.999,10.2,Cl1
a176,WHI,0.23,0.04,151,0.9927,11.4,Cl2
a177,WHI,0.32,0.044,65,0.991,12.6,Cl1
a178,WHI,0.23,0.054,170,0.9972,9.4,Cl1
a179,WHI,0.67,0.06,108,0.9931,8.7,Cl1
a180,WHI,0.25,0.049,176,0.995,9.2,Cl2
a181,WHI,0.33,0.048,173,0.9951,9.3,Cl2
a182,WHI,0.34,0.053,183,0.9936,9.2,Cl1
a183,WHI,0.28,0.048,167,1.001,8.7,Cl1
a184,WHI,0.27,0.05,227,0.9979,9.6,Cl2
a185,WHI,0.26,0.043,226,0.997,9.3,Cl1
a186,WHI,0.29,0.043,230,0.9972,9.3,Cl1
a187,WHI,0.24,0.04,166,0.9954,9.9,Cl2
a188,WHI,0.3,0.038,119,0.9924,11,Cl1
a189,WHI,0.53,0.034,109,0.9906,12.7,Cl3
a190,WHI,0.28,0.047,210,0.9962,8.9,Cl1
a191,WHI,0.28,0.052,211,0.9962,8.9,Cl2
a192,WHI,0.28,0.048,167,1.001,8.7,Cl1
a193,WHI,0.28,0.045,123,0.9928,11.4,Cl2
a194,WHI,0.15,0.055,125,0.9942,9.6,Cl1
a195,WHI,0.29,0.2,181,0.9942,9.1,Cl1
a196,WHI,0.3,0.197,180,0.9942,9.1,Cl2
a197,WHI,0.29,0.197,183,0.9942,9.1,Cl1
a198,WHI,0.26,0.052,214,0.9961,8.9,Cl1
a199,WHI,0.32,0.05,204,0.998,8.8,Cl1
a200,WHI,0.26,0.052,214,0.9961,8.9,Cl1
a201,WHI,0.27,0.049,196,0.9984,9.3,Cl1
a202,WHI,0.32,0.05,204,0.998,8.8,Cl1
a203,WHI,0.54,0.05,236,0.9973,9.6,Cl1
a204,WHI,0.26,0.034,134,0.9949,12,Cl2
a205,WHI,0.28,0.053,114,0.9924,10.2,Cl1
a206,WHI,0.21,0.042,153,0.9972,8.8,Cl1
a207,WHI,0.16,0.045,126,0.9958,9.2,Cl1
a208,WHI,0.44,0.049,124,0.9968,9.9,Cl1
a209,WHI,0.57,0.04,77,0.9938,10.2,Cl1
a210,WHI,0.4,0.048,170,0.993,9.5,Cl2
a211,WHI,0.245,0.032,68,0.994,10.5,Cl1
a212,WHI,0.18,0.038,111,0.9918,11.2,Cl2
a213,WHI,0.16,0.045,126,0.9958,9.2,Cl1
a214,WHI,0.13,0.051,122,0.9944,9.7,Cl2
a215,WHI,0.25,0.03,105,0.9912,11.1,Cl2
a216,WHI,0.26,0.044,152,0.9961,9.4,Cl1
a217,WHI,0.27,0.036,164,0.9939,11,Cl1
a218,WHI,0.26,0.044,152,0.9961,9.4,Cl1
a219,WHI,0.28,0.044,167,0.9989,9.4,Cl1
a220,WHI,0.23,0.036,161,0.9938,11,Cl1
a221,WHI,0.27,0.036,164,0.9939,11,Cl1
a222,WHI,0.685,0.07,172,0.9971,9.1,Cl2
a223,WHI,0.25,0.03,105,0.9912,11.1,Cl2
a224,WHI,0.19,0.043,144,0.9936,9.1,Cl2
a225,WHI,0.495,0.046,140,0.9929,10.4,Cl2
a226,WHI,0.24,0.046,145,0.9998,8.7,Cl1
a227,WHI,0.17,0.048,200,0.9938,9.7,Cl2
a228,WHI,0.25,0.041,272,0.9969,9.1,Cl2
a229,WHI,0.17,0.048,200,0.9938,9.7,Cl2
a230,WHI,0.24,0.046,145,0.9998,8.7,Cl1
a231,WHI,0.64,0.062,142,0.9972,8.9,Cl1
a232,WHI,0.28,0.041,194,0.9976,9.6,Cl2
a233,WHI,0.27,0.039,208,0.9976,9.5,Cl2
a234,WHI,0.23,0.058,194,0.9979,9,Cl2
a235,WHI,0.23,0.058,194,0.9979,9,Cl2
a236,WHI,0.23,0.058,194,0.9979,9,Cl2
a237,WHI,0.23,0.058,194,0.9979,9,Cl2
a238,WHI,0.52,0.044,221,0.9972,9.6,Cl2
a239,WHI,0.26,0.037,120,0.9918,11.1,Cl2
a240,WHI,0.25,0.039,159,0.9982,9.6,Cl2
a241,WHI,0.32,0.05,197,0.9985,8.7,Cl1
a242,WHI,0.31,0.031,90,0.9944,10.4,Cl1
a243,WHI,0.21,0.026,100,0.9903,11.4,Cl2
a244,WHI,0.24,0.047,218.5,0.9934,9.7,Cl2
a245,WHI,0.4,0.043,142,0.9975,8.7,Cl1
a246,WHI,0.18,0.038,249.5,0.9923,11.3,Cl2
a247,WHI,0.21,0.03,139,0.99,12.6,Cl2
a248,WHI,0.2,0.031,77,0.9905,10.9,Cl2
a249,WHI,0.19,0.03,76,0.9905,10.9,Cl2
a250,WHI,0.41,0.037,119,0.996,10,Cl1
a251,WHI,0.21,0.053,199,0.9964,10,Cl1
a252,WHI,0.26,0.074,197,0.998,9.8,Cl1
a253,WHI,0.4,0.043,142,0.9975,8.7,Cl1
a254,WHI,0.24,0.029,109,0.9913,11.7,Cl1
a255,WHI,0.24,0.054,158,0.9932,9.3,Cl2
a256,WHI,0.26,0.04,147,0.9935,9.6,Cl3
a257,WHI,0.35,0.035,97,0.9927,11,Cl2
a258,WHI,0.35,0.035,97,0.9927,11,Cl2
a259,WHI,0.23,0.032,118,0.9912,11.8,Cl2
a260,WHI,0.36,0.037,75,0.9904,11.4,Cl1
a261,WHI,0.115,0.048,108,0.9939,10.2,Cl2
a262,WHI,0.29,0.043,156,0.9996,8.9,Cl1
a263,WHI,0.28,0.036,95,0.9944,10.2,Cl1
a264,WHI,0.29,0.045,231,0.9977,9.6,Cl2
a265,WHI,0.24,0.038,167,0.9912,10.6,Cl2
a266,WHI,0.29,0.043,156,0.9996,8.9,Cl1
a267,WHI,0.32,0.053,180,0.9965,9.2,Cl2
a268,WHI,0.58,0.043,149,0.9944,9.7,Cl1
a269,WHI,0.585,0.044,145,0.9945,9.7,Cl2
a270,WHI,0.59,0.045,147,0.9944,9.7,Cl2
a271,WHI,0.32,0.053,180,0.9965,9.2,Cl2
a272,WHI,0.6,0.044,147,0.9944,9.7,Cl1
a273,WHI,0.25,0.051,148,0.9972,9.3,Cl1
a274,WHI,0.58,0.057,123,0.9949,9,Cl1
a275,WHI,0.29,0.046,234,0.9966,9.5,Cl1
a276,WHI,0.19,0.046,169,0.9954,9.8,Cl2
a277,WHI,0.2,0.044,166,0.9954,9.8,Cl2
a278,WHI,0.26,0.042,60,0.9915,10.6,Cl1
a279,WHI,0.32,0.044,67,0.9919,10.6,Cl1
a280,WHI,0.3,0.036,105,0.9916,12.4,Cl2
a281,WHI,0.24,0.034,112,0.99,12.6,Cl3
a282,WHI,0.31,0.039,114,0.9909,12.3,Cl3
a283,WHI,0.44,0.047,201,0.9938,10.5,Cl1
a284,WHI,0.34,0.054,196,0.9982,9.3,Cl1
a285,WHI,0.35,0.055,198,0.9988,8.8,Cl1
a286,WHI,0.32,0.056,180,0.9961,8.8,Cl1
a287,WHI,0.28,0.053,190,0.9978,9.7,Cl2
a288,WHI,0.23,0.058,192,0.9979,9,Cl2
a289,WHI,0.23,0.058,192,0.9979,9,Cl2
a290,WHI,0.23,0.058,192,0.9979,9,Cl2
a291,WHI,0.23,0.058,192,0.9979,9,Cl2
a292,WHI,0.15,0.041,155,0.9945,10.5,Cl2
a293,WHI,0.28,0.066,195,1,9.1,Cl1
a294,WHI,0.28,0.041,157,0.9957,9.8,Cl2
a295,WHI,0.59,0.066,182,0.9968,8.5,Cl1
a296,WHI,0.33,0.046,175,0.9934,9.4,Cl2
a297,WHI,0.39,0.045,169,0.9976,9.4,Cl1
a298,WHI,0.19,0.041,187,0.9932,11.2,Cl2
a299,WHI,0.17,0.046,146,0.997,10,Cl2
a300,WHI,0.17,0.043,122,0.9923,10.3,Cl2
a301,WHI,0.41,0.063,87,0.9914,10.8,Cl2
a302,WHI,0.2,0.05,74,0.992,10.5,Cl2
a303,WHI,0.41,0.063,87,0.9914,10.8,Cl2
a304,WHI,0.29,0.055,168,0.9914,11.1,Cl2
a305,WHI,0.41,0.057,163,0.9949,9.9,Cl2
a306,WHI,0.41,0.057,163,0.9949,9.9,Cl2
a307,WHI,0.43,0.058,163,0.995,9.9,Cl1
a308,WHI,0.4,0.058,166,0.995,9.9,Cl2
a309,WHI,0.33,0.036,134,0.9927,10.4,Cl2
a310,WHI,0.31,0.037,148,0.9928,10.4,Cl2
a311,WHI,0.36,0.035,100,0.9917,11.5,Cl2
a312,WHI,0.55,0.032,164,0.9918,12.5,Cl3
a313,WHI,0.25,0.042,149,0.9954,10,Cl2
a314,WHI,0.36,0.038,166,0.9941,10,Cl2
a315,WHI,0.34,0.04,167,0.9941,10,Cl1
a316,WHI,0.28,0.132,127,0.9934,9.1,Cl2
a317,WHI,0.25,0.031,134,0.9927,10.6,Cl2
a318,WHI,0.24,0.031,135,0.9938,10.5,Cl1
a319,WHI,0.3,0.03,133,0.9933,11.5,Cl2
a320,WHI,0.125,0.04,69,0.9934,10.1,Cl2
a321,WHI,0.1,0.041,65,0.9927,10.3,Cl2
a322,WHI,0.24,0.031,135,0.9938,10.5,Cl1
a323,WHI,0.25,0.031,134,0.9927,10.6,Cl2
a324,WHI,0.28,0.031,137,0.9946,10.4,Cl2
a325,WHI,0.41,0.046,207,0.993,11.4,Cl1
a326,WHI,0.27,0.057,313,0.9946,10.5,Cl1
a327,WHI,0.26,0.04,216,0.9976,10,Cl2
a328,WHI,0.34,0.039,143,0.9944,10,Cl2
a329,WHI,0.28,0.042,195,0.9978,9.6,Cl2
a330,WHI,0.21,0.036,85,0.992,10.4,Cl1
a331,WHI,0.32,0.03,101,0.9912,12.5,Cl3
a332,WHI,0.24,0.032,135,0.9927,10.6,Cl1
a333,WHI,0.23,0.033,91,0.9906,11.8,Cl2
a334,WHI,0.28,0.038,133,0.9954,9.8,Cl1
a335,WHI,0.26,0.031,80,0.9923,10.8,Cl1
a336,WHI,0.23,0.033,91,0.9906,11.8,Cl2
a337,WHI,0.23,0.036,105,0.991,11.2,Cl2
a338,WHI,0.27,0.045,170,0.9972,9.3,Cl2
a339,WHI,0.26,0.047,139,0.9945,10.4,Cl1
a340,WHI,0.18,0.049,141,0.9934,10.2,Cl2
a341,WHI,0.2,0.045,153,0.9964,9,Cl2
a342,WHI,0.24,0.047,129,0.9948,10,Cl2
a343,WHI,0.26,0.044,140,0.9962,9.1,Cl2
a344,WHI,0.31,0.053,144,0.9931,10,Cl1
a345,WHI,0.29,0.052,145,0.993,10,Cl2
a346,WHI,0.145,0.05,131,0.9942,9.6,Cl2
a347,WHI,0.34,0.031,68,0.9906,11.2,Cl2
a348,WHI,0.19,0.056,155,0.9995,8.8,Cl2
a349,WHI,0.18,0.052,118,0.998,10,Cl2
a350,WHI,0.17,0.054,137,0.997,10,Cl1
a351,WHI,0.12,0.044,146,0.9914,11.4,Cl2
a352,WHI,0.33,0.038,138,0.992,11.9,Cl2
a353,WHI,0.335,0.071,128,0.9924,9.6,Cl2
a354,WHI,0.33,0.038,138,0.992,11.9,Cl2
a355,WHI,0.4,0.047,245,0.9937,9.6,Cl2
a356,WHI,0.22,0.063,191,0.9978,9,Cl2
a357,WHI,0.22,0.063,191,0.9978,9,Cl2
a358,WHI,0.36,0.05,169,0.9927,9.5,Cl2
a359,WHI,0.2,0.05,152,0.994,10.4,Cl2
a360,WHI,0.24,0.04,161,0.9935,10.6,Cl2
a361,WHI,0.24,0.047,162,0.9968,10.2,Cl2
a362,WHI,0.365,0.055,84,0.9941,8.9,Cl1
a363,WHI,0.15,0.05,127,0.9942,9.7,Cl2
a364,WHI,0.22,0.063,191,0.9978,9,Cl2
a365,WHI,0.16,0.037,102,0.9923,11.4,Cl2
a366,WHI,0.26,0.028,113,0.9912,12.3,Cl2
a367,WHI,0.18,0.089,143,0.9923,10.8,Cl2
a368,WHI,0.33,0.053,148,0.9927,9.4,Cl2
a369,WHI,0.29,0.049,178,0.9931,10.6,Cl2
a370,WHI,0.39,0.044,72,0.9941,11.6,Cl1
a371,WHI,0.33,0.053,148,0.9927,9.4,Cl2
a372,WHI,0.29,0.049,178,0.9931,10.6,Cl2
a373,WHI,0.905,0.048,204,0.9934,10,Cl1
a374,WHI,0.27,0.048,149,0.9936,9.2,Cl2
a375,WHI,0.33,0.027,89,0.9893,12.5,Cl2
a376,WHI,0.33,0.027,89,0.9893,12.5,Cl2
a377,WHI,0.31,0.037,119,0.9919,10.4,Cl2
a378,WHI,0.2,0.045,98,0.9924,10,Cl2
a379,WHI,0.32,0.049,155,0.9927,10,Cl2
a380,WHI,0.31,0.037,119,0.9919,10.4,Cl2
a381,WHI,0.2,0.045,98,0.9924,10,Cl2
a382,WHI,0.28,0.046,179,0.9975,9,Cl2
a383,WHI,0.35,0.051,157,0.9969,9.2,Cl2
a384,WHI,0.27,0.048,149,0.9936,9.2,Cl2
a385,WHI,0.36,0.027,125,0.991,11.3,Cl2
a386,WHI,0.33,0.027,89,0.9893,12.5,Cl2
a387,WHI,0.17,0.026,115,0.9906,10.8,Cl2
a388,WHI,0.39,0.04,260,0.9941,10.1,Cl1
a389,WHI,0.21,0.047,140,0.995,9.7,Cl2
a390,WHI,0.3,0.032,181,0.9983,9.3,Cl2
a391,WHI,0.3,0.032,181,0.9983,9.3,Cl2
a392,WHI,0.36,0.031,66,0.9916,10.6,Cl1
a393,WHI,0.55,0.031,125,0.9957,10.2,Cl2
a394,WHI,0.24,0.021,69,0.99,12.2,Cl2
a395,WHI,0.37,0.044,163,0.9976,8.8,Cl1
a396,WHI,0.27,0.04,168,0.992,10,Cl1
a397,WHI,0.28,0.031,93,0.9917,11.4,Cl1
a398,WHI,0.2,0.037,107,0.9917,11.4,Cl2
a399,WHI,0.26,0.048,168,0.9993,9.4,Cl1
a400,WHI,0.19,0.032,83,0.9908,11.7,Cl2
a401,WHI,0.2,0.037,107,0.9917,11.4,Cl2
a402,WHI,0.37,0.044,163,0.9976,8.8,Cl1
a403,WHI,0.35,0.069,108,0.9934,9.2,Cl1
a404,WHI,0.27,0.046,252,1,8.7,Cl1
a405,WHI,0.22,0.035,170,0.9918,12.6,Cl2
a406,WHI,0.27,0.04,168,0.992,10,Cl1
a407,WHI,0.28,0.031,99,0.9896,12.8,Cl2
a408,WHI,0.49,0.049,125,0.9932,9.4,Cl1
a409,WHI,0.14,0.044,116,0.992,10.3,Cl2
a410,WHI,0.28,0.031,93,0.9917,11.4,Cl1
a411,WHI,0.25,0.038,155,0.9999,9,Cl2
a412,WHI,0.28,0.04,140,0.998,9.6,Cl2
a413,WHI,0.19,0.036,85,0.9918,10.5,Cl1
a414,WHI,0.19,0.036,85,0.9918,10.5,Cl1
a415,WHI,0.25,0.038,155,0.9999,9,Cl2
a416,WHI,0.28,0.04,140,0.998,9.6,Cl2
a417,WHI,0.21,0.041,99,0.9927,9.8,Cl2
a418,WHI,0.26,0.047,210,0.9959,9,Cl1
a419,WHI,0.21,0.041,99,0.9927,9.8,Cl2
a420,WHI,0.31,0.05,137,0.9929,10.5,Cl2
a421,WHI,0.22,0.03,136,0.9898,12.7,Cl2
a422,WHI,0.21,0.045,222,0.9954,10.4,Cl2
a423,WHI,0.21,0.045,221,0.9954,10.4,Cl2
a424,WHI,0.21,0.045,221,0.9954,10.4,Cl2
a425,WHI,0.23,0.047,162,0.9954,10.5,Cl2
a426,WHI,0.21,0.045,222,0.9954,10.4,Cl2
a427,WHI,0.21,0.045,221,0.9954,10.4,Cl2
a428,WHI,0.29,0.053,194,0.9974,9.4,Cl1
a429,WHI,0.21,0.051,89,0.9936,9.1,Cl1
a430,WHI,0.31,0.056,197,0.9978,9.3,Cl1
a431,WHI,0.29,0.053,194,0.9974,9.4,Cl1
a432,WHI,0.34,0.048,84,0.9927,9.8,Cl1
a433,WHI,0.155,0.045,214,0.9934,9.9,Cl2
a434,WHI,0.55,0.108,151,0.9938,9.2,Cl1
a435,WHI,0.23,0.028,104,0.9922,12.1,Cl3
a436,WHI,0.2,0.027,97,0.992,12.2,Cl2
a437,WHI,0.28,0.042,218.5,0.9935,9.8,Cl1
a438,WHI,0.16,0.035,186,0.9906,12.4,Cl3
a439,WHI,0.155,0.045,214,0.9934,9.9,Cl2
a440,WHI,0.35,0.06,108,0.9934,9.2,Cl1
a441,WHI,0.22,0.028,102,0.9913,11.6,Cl2
a442,WHI,0.38,0.033,137,0.9938,10.4,Cl2
a443,WHI,0.25,0.026,126,0.9898,12.9,Cl3
a444,WHI,0.52,0.048,245,0.9975,9.3,Cl2
a445,WHI,0.24,0.031,139,0.9975,11,Cl2
a446,WHI,0.32,0.038,66,0.9937,11.5,Cl1
a447,WHI,0.28,0.054,156,0.9914,12.4,Cl1
a448,WHI,0.41,0.048,113,0.9982,9.8,Cl2
a449,WHI,0.41,0.048,113,0.9982,9.8,Cl2
a450,WHI,0.28,0.052,127,0.9929,10.5,Cl2
a451,WHI,0.6,0.07,174,0.9971,9.1,Cl1
a452,WHI,0.2,0.038,128,0.9921,10.1,Cl1
a453,WHI,0.46,0.042,160,0.9931,10.6,Cl2
a454,WHI,0.27,0.046,113,0.9924,10.5,Cl2
a455,WHI,0.28,0.052,127,0.9929,10.5,Cl2
a456,WHI,0.41,0.048,113,0.9982,9.8,Cl2
